North,Name,Primary Exchange,Ticker,Parent Comp. Name,Fund Objective,Fund Geographical Focus,Fund Asset Class Focus,General Attribute,Tot Asset US$ (M),Expense Ratio,Avg Dvd Yield,Alpha 1Y-M,Alpha 3Y,Tot Ret 1Y,Tot Ret 3Y,Sharpe 1Y-M,Sharpe 3Y,Beta 1Y-M,Beta 3Y
Yes,DIMENSIONAL US REAL EST ETF,NYSE Arca,DFAR US Equity,Dimensional ETF Trust,Real Estate,United States,Equity,N.A.,694.796,0.19,4.48,,,0.56,,-0.612,,,
No,SCHWAB US MID CAP ETF,NYSE Arca,SCHM US Equity,Schwab ETFs/USA,Mid-cap,United States,Equity,N.A.,9321.326,0.04,1.821,0.001,0.001,5.945,19.449,-0.233,0.296,1,1
Yes,ADVISORSHARES RANGER EQ BEAR,NYSE Arca,HDGE US Equity,AdvisorShares ETFs/USA,Broad Market,United States,Equity,N.A.,108.056,4.29,,0.859,-0.066,-18.604,-42.114,-0.378,-0.56,-1.543,-1.181
Yes,CAPITAL GROUP DIVIDEND VALUE,NYSE Arca,CGDV US Equity,Capital Research and Management Company/ETFs,Broad Market,United States,Equity,N.A.,4289.229,0.33,2.366,0.616,,24.07,,0.96,,0.853,
No,SCHWAB US REIT ETF,NYSE Arca,SCHH US Equity,Schwab ETFs/USA,Real Estate,United States,Equity,N.A.,5679.664,0.07,4.52,-0.019,-0.008,0.632,10.315,-0.629,0.136,0.987,0.991
No,ISHARES CORE AGGRESSIVE ALLO,NYSE Arca,AOA US Equity,iShares ETFs/USA,Aggressive Allocation,United States,Mixed Allocation,N.A.,1637.618,0.15,2.272,-0.005,-0.007,15.176,16.861,0.309,0.263,0.979,0.991
Yes,SIMPLIFY MANAGED FUTURES ST,NYSE Arca,CTA US Equity,Simplify Exchange Traded Funds,Not Classified,United States,Alternative,N.A.,156.844,0.75,,0.405,,-6.082,,-0.368,,2.106,
Yes,AVANTIS RESP US EQUITY ETF,NYSE Arca,AVSU US Equity,American Century ETF Trust,Broad Market,United States,Equity,ESG,183.565,0.15,1.639,-0.243,,14.527,,0.113,,1.047,
No,VANECK MORTGAGE REIT INCOME,NYSE Arca,MORT US Equity,VanEck ETFs/USA,Real Estate,United States,Equity,N.A.,197.728,0.41,13.882,-0.013,-0.039,6.608,4.156,-0.245,0.077,1.006,0.995
Yes,AVANTIS REPS INTERN EQUI ETF,NYSE Arca,AVSD US Equity,American Century ETF Trust,Global,Global,Equity,N.A.,107.893,0.23,3.547,-0.026,,19.829,,0.507,,1.086,
Yes,FAIRLEAD TACTICAL SECTOR ETF,NYSE Arca,TACK US Equity,Capitol Series Trust,Thematic,United States,Equity,N.A.,208.736,0.7,0.373,-0.229,,3.758,,-0.323,,0.796,
No,AXS CHANGE FINANCE ESG ETF,NYSE Arca,CHGX US Equity,Investment Managers Series Trust II/AXS Investments LLC,Thematic,United States,Equity,Environmentally Friendly,119.035,0.49,1.46,-0.034,-0.036,16.893,18.55,0.228,0.285,0.975,0.993
Yes,JPMORGAN MKT EXP ENH EQTY,NYSE Arca,JMEE US Equity,JP Morgan ETFs/USA,Mid-cap,United States,Equity,N.A.,833.847,0.24,1.761,0.162,,6.854,,-0.231,,0.983,
No,DRX DLY 20+ YR TREAS BEAR 3X,NYSE Arca,TMV US Equity,Direxion ETFs/USA,Government,United States,Fixed Income,N.A.,409.784,1,,1.066,-0.081,13.682,227.201,0.854,1.522,-3.112,-3.086
No,SCHWAB U.S. TIPS ETF,NYSE Arca,SCHP US Equity,Schwab ETFs/USA,Inflation Protected,United States,Fixed Income,N.A.,11508.3,0.03,,0.002,0.001,2.463,-4.453,-1.065,-0.557,1.011,1.013
Yes,JPMORGAN REALTY INCOME ETF,NYSE Arca,JPRE US Equity,JP Morgan ETFs/USA,Real Estate,United States,Equity,ESG,326.779,0.5,3.844,0.228,,5.131,,-0.37,,0.957,
Yes,JPMORGAN INT RES ENH EQTY,NYSE Arca,JIRE US Equity,JP Morgan ETFs/USA,International,International,Equity,N.A.,5302.866,0.24,3.267,0.088,,23.648,,0.742,,1.095,
No,ISHARES RUSSELL TOP 200 GROW,NYSE Arca,IWY US Equity,iShares ETFs/USA,Large-cap,United States,Equity,N.A.,7270.619,0.2,0.773,-0.023,-0.023,35.679,36.493,1.036,0.496,1.001,1.003
Yes,ONEASCENT CORE PLUS BOND ETF,NYSE Arca,OACP US Equity,Unified Series Trust,Aggregate Bond,United States,Fixed Income,N.A.,106.657,0.79,,0.035,,2.776,,-0.536,,1.019,
No,INVESCO FTSE RAFI DEVELOPED,NYSE Arca,PDN US Equity,Invesco ETFs/USA,International,International,Equity,N.A.,491.77,0.49,3.44,-0.028,-0.01,15.98,7.858,0.323,0.091,1.056,1
No,ISHARES U.S. ENERGY ETF,NYSE Arca,IYE US Equity,iShares ETFs/USA,Energy,United States,Equity,N.A.,1343.117,0.4,3.321,-0.032,-0.008,-3.113,219.139,-0.427,1.619,1.007,1.001
No,ISHARES DOW JONES U.S. ETF,NYSE Arca,IYY US Equity,iShares ETFs/USA,Broad Market,United States,Equity,N.A.,1582.581,0.2,1.58,-0.012,-0.013,18.072,31.025,0.355,0.489,0.994,0.997
No,DRX DLY FTSE CHINA BEAR 3X,NYSE Arca,YANG US Equity,Direxion ETFs/USA,China,China,Equity,N.A.,136.609,1,,2.689,-0.816,-64.634,-42.102,-0.35,0.301,-2.568,-2.786
No,ISHARES U.S. BASIC MATERIALS,NYSE Arca,IYM US Equity,iShares ETFs/USA,Materials,United States,Equity,N.A.,636.293,0.4,2.332,-0.038,-0.036,11.171,31.069,0.12,0.451,1.002,0.99
No,FIRST TRUST NYSE ARCA BIOTEC,NYSE Arca,FBT US Equity,First Trust ETFs/USA,Health Care,United States,Equity,N.A.,1127.778,0.55,0.329,-0.038,-0.028,-1.997,-9.874,-0.657,-0.338,1.003,1
No,GOLDMAN SACHS MARKETBETA US,NYSE Arca,GUSA US Equity,Goldman Sachs ETF Trust,Large-cap,United States,Equity,N.A.,1349.649,0.11,1.565,0.005,,18.339,,0.371,,0.983,
Yes,DOUBLELINE OPPORTUNISTIC BND,NYSE Arca,DBND US Equity,Doubleline ETF Trust,Aggregate Bond,Global,Fixed Income,N.A.,182.541,0.5,,0.002,,2.817,,-0.68,,0.891,
Yes,DOUBLELINE SHILLER CAPE ETF,NYSE Arca,CAPE US Equity,Doubleline ETF Trust,Large-cap,United States,Equity,N.A.,317.785,0.65,1.43,-0.157,,17.92,,0.348,,1.187,
No,SPROTT URANIUM MINERS ETF,NYSE Arca,URNM US Equity,Sprott ETF Trust,Industrials,Global,Equity,N.A.,1462.242,0.85,0.724,0.161,-0.004,42.226,269.059,1.18,1.436,0.95,0.987
No,GLOBAL X MSCI GREECE ETF,NYSE Arca,GREK US Equity,Global X ETFs/USA,Greece,Greece,Equity,N.A.,160.004,0.57,2.862,-0.164,-0.005,53.026,104.366,1.681,1.019,1.038,0.958
Yes,DIMENSIONAL EMERGING MARKETS,NYSE Arca,DFEM US Equity,Dimensional ETF Trust,Emerging Markets,International,Equity,N.A.,2415.695,0.38,2.552,,,17.323,,0.513,,,
No,SPDR PORT LNG TRM CORP BND,NYSE Arca,SPLB US Equity,State Street ETF/USA,Corporate,United States,Fixed Income,N.A.,655.503,0.04,,-0.01,0.04,4.87,-25.069,-0.191,-0.758,1.064,1.044
Yes,DIMENSIONAL EMERGING MARKETS,NYSE Arca,DEHP US Equity,Dimensional ETF Trust,Emerging Markets,International,Equity,N.A.,162.342,0.41,2.609,,,17.835,,0.529,,,
No,FIRST TRUST TECHNOLOGY ALPHA,NYSE Arca,FXL US Equity,First Trust ETFs/USA,Technology,United States,Equity,N.A.,1107.956,0.61,0.664,-0.038,-0.049,26.053,21.086,0.576,0.277,0.999,0.996
Yes,DIMENSIONAL EMERGING MARKETS,NYSE Arca,DFEV US Equity,Dimensional ETF Trust,Emerging Markets,International,Equity,N.A.,449.898,0.43,3.342,,,18.48,,0.594,,,
No,FIRST TRUST CONSUMER STAPLES,NYSE Arca,FXG US Equity,First Trust ETFs/USA,Consumer Staples,United States,Equity,N.A.,508.714,0.64,1.943,-0.063,-0.043,-2.478,27.653,-0.927,0.52,0.988,0.998
No,GLOBAL X LITHIUM & BATTERY T,NYSE Arca,LIT US Equity,Global X ETFs/USA,Thematic,Global,Equity,N.A.,2185.223,0.75,2.006,0.243,-0.03,-26.441,10.714,-0.804,0.227,1.05,1.011
No,SPDR PORTFOLIO TIPS ETF,NYSE Arca,SPIP US Equity,State Street ETF/USA,Inflation Protected,United States,Fixed Income,N.A.,1439.311,0.12,,-0.002,-0.003,2.248,-5.419,-1.043,-0.583,1.028,1.002
No,DIREXION DAILY FIN BEAR 3X,NYSE Arca,FAZ US Equity,Direxion ETFs/USA,Financial,United States,Equity,N.A.,228.991,1.01,,1.69,0.663,-10.156,-81.219,0.368,-0.481,-2.95,-2.834
Yes,DIMENSIONAL US MARKETWIDE VA,NYSE Arca,DFUV US Equity,Dimensional ETF Trust,Broad Market,United States,Equity,N.A.,8451.837,0.22,2.331,-0.042,,4.289,,-0.305,,1.064,
No,VANGUARD S&P SMALL-CAP 600 G,NYSE Arca,VIOG US Equity,Vanguard ETF/USA,Small-cap,United States,Equity,N.A.,530.318,0.15,1.724,-0.032,-0.015,3.114,20.096,-0.523,0.296,0.988,1.003
No,ISHARES MSCI SWITZERLAND ETF,NYSE Arca,EWL US Equity,iShares ETFs/USA,Switzerland,Switzerland,Equity,N.A.,1166.068,0.5,3.152,-0.011,0.008,16.118,12.594,0.341,0.232,1.055,1.011
Yes,GOTHAM 1000 VALUE ETF,NYSE Arca,GVLU US Equity,Tidal ETF Trust,Broad Market,United States,Equity,N.A.,132.92,0.5,2.201,,,10.658,,0.02,,,
Yes,PIMCO SENIOR LOAN ACTIVE ETF,NYSE Arca,LONZ US Equity,Pimco ETFs/USA,N.A.,United States,Fixed Income,N.A.,237.038,0.5,,0.027,,11.325,,1.815,,0.987,
No,ISHARES MSCI UNITED KINGDOM,NYSE Arca,EWU US Equity,iShares ETFs/USA,United Kingdom,United Kingdom,Equity,N.A.,2602.952,0.5,4.105,-0.043,-0.041,17.281,37.846,0.512,0.625,1.02,0.991
No,ISHARES MSCI SWEDEN ETF,NYSE Arca,EWD US Equity,iShares ETFs/USA,Sweden,Sweden,Equity,N.A.,313.333,0.54,3.385,0.068,0.074,15.558,3.589,0.217,0.074,1.042,1.025
Yes,AB TAX AWARE SHORT DUR MUNI,NYSE Arca,TAFI US Equity,AB Active ETFs Inc,Municipals,United States,Fixed Income,N.A.,218.908,0.27,,0.097,,3.77,,-0.663,,0.816,
Yes,AB ULTRA SHORT INCOME ETF,NYSE Arca,YEAR US Equity,AB Active ETFs Inc,Aggregate Bond,United States,Fixed Income,N.A.,532.982,0.25,,1.137,,5.987,,0.974,,-1.649,
No,VANGUARD UTILITIES ETF,NYSE Arca,VPU US Equity,Vanguard ETF/USA,Utilities,United States,Equity,N.A.,4706.274,0.1,3.728,-0.003,-0.015,-4.977,4.518,-0.836,0.05,1.004,1.001
No,INVESCO WILDERHILL CLEAN ENE,NYSE Arca,PBW US Equity,Invesco ETFs/USA,Thematic,United States,Equity,"Clean Energy,Environmentally Friendly",428.451,0.62,0.361,0.266,0.188,-36.711,-57.031,-0.964,-0.338,0.997,1.001
Yes,VANECK CLO ETF,NYSE Arca,CLOI US Equity,VanEck ETFs/USA,Asset-Backed Securities,United States,Fixed Income,N.A.,196.926,0.4,,0.049,,10.404,,2.729,,0.915,
No,SPDR S&P BIOTECH ETF,NYSE Arca,XBI US Equity,State Street ETF/USA,Health Care,United States,Equity,N.A.,5202.389,0.35,0.156,-0.027,-0.024,-11.37,-38.21,-1.137,-0.584,0.997,0.998
No,PROSH ULTRAPRO SHORT S&P 500,NYSE Arca,SPXU US Equity,ProShares ETFs/USA,Large-cap,United States,Equity,N.A.,943.818,0.9,,1.361,0.538,-38.584,-71.749,-0.44,-0.493,-3.015,-2.942
No,XTRACKERS NET ZERO US ETF,NYSE Arca,USNZ US Equity,DWS Xtrackers ETFs/USA,Large-cap,United States,Equity,"Index Fund,ESG",146.263,0.1,1.538,0.107,,20.614,,0.534,,0.955,
No,INVESCO LARGE CAP GROWTH ETF,NYSE Arca,PWB US Equity,Invesco ETFs/USA,Large-cap,United States,Equity,N.A.,639.231,0.55,0.638,-0.048,-0.048,19.94,14.576,0.352,0.194,1,0.997
No,ISHARES IBONDS DEC 2032 TC,NYSE Arca,IBDX US Equity,iShares ETFs/USA,Corporate,United States,Fixed Income,Index Fund,250.65,0.1,,-0.003,,5.763,,-0.162,,1.071,
No,SPDR S&P SOFTWARE & SER ETF,NYSE Arca,XSW US Equity,State Street ETF/USA,Technology,United States,Equity,N.A.,287.591,0.35,0.222,-0.012,-0.02,19.147,3.653,0.079,0.056,0.985,0.996
No,WISDOMTREE GLOBAL HIGH DIVID,NYSE Arca,DEW US Equity,WisdomTree ETFs/USA,Global,Global,Equity,N.A.,105.416,0.58,5.323,0.042,0.038,9.599,34.709,0.015,0.599,1.025,1.007
Yes,JPMORGAN ACTIVE GROWTH ETF,NYSE Arca,JGRO US Equity,JP Morgan ETFs/USA,Large-cap,United States,Equity,N.A.,622.951,0.44,0.563,-0.209,,26.475,,0.681,,0.94,
No,ISHARES MSCI JAPAN SMALL-CAP,NYSE Arca,SCJ US Equity,iShares ETFs/USA,Japan,Japan,Equity,N.A.,108.011,0.5,2.476,0.097,0.02,19.881,-2.548,0.79,-0.16,1.061,1.006
Yes,CONDUCTOR GLOBAL EQ VAL ETF,NYSE Arca,CGV US Equity,Two Roads Shared Trust/IronHorse Capital LLC,Global,Global,Equity,N.A.,108.356,1.28,4.886,,,2.257,25.13,-0.241,0.527,,
No,STRIVE US ENERGY ETF,NYSE Arca,DRLL US Equity,EA Series Trust,Energy,United States,Equity,"Index Fund,Energy (Display in NEF as Energy and Infrastructure)",349.931,0.41,3.438,-0.048,,-1.474,,-0.374,,0.985,
No,ISHARES EXPANDED TECH SECTOR,NYSE Arca,IGM US Equity,iShares ETFs/USA,Technology,United States,Equity,N.A.,3213.057,0.41,0.709,-0.035,-0.035,48.422,29.683,1.249,0.37,0.998,1
Yes,NEOS EN INCOME CASH ALT ETF,NYSE Arca,CSHI US Equity,SHP ETF Trust,Government,United States,Fixed Income,N.A.,213.453,0.38,,0.296,,5.963,,2.138,,0.457,
No,STRIVE 500 ETF,NYSE Arca,STRV US Equity,EA Series Trust,Large-cap,United States,Equity,N.A.,281.558,0.054,1.567,0.01,,19.654,,0.453,,0.985,
No,SCHWAB MUNICIPAL BOND ETF,NYSE Arca,SCMB US Equity,Schwab ETFs/USA,Municipals,United States,Fixed Income,N.A.,185.82,0.03,,-0.021,,4.001,,-0.298,,1.066,
No,INVESCO DB AGRICULTURE FUND,NYSE Arca,DBA US Equity,Invesco ETFs/USA,Agriculture,United States,Commodity,N.A.,813.648,0.91,,0.32,0.082,13.457,53.966,1.006,1.338,1.038,0.996
No,WISDOMTREE EMERGING MARKETS,NYSE Arca,DEM US Equity,WisdomTree ETFs/USA,Emerging Markets,International,Equity,N.A.,2423.217,0.63,5.932,-0.23,-0.086,24.461,29.674,0.843,0.454,1.1,1.021
No,ISHARES CMBS ETF,NYSE Arca,CMBS US Equity,iShares ETFs/USA,Mortgage-Backed,United States,Fixed Income,N.A.,380.031,0.25,,-0.031,-0.021,3.564,-11.165,-0.561,-1.23,1.092,1.045
No,INVESCO CEF INCOME COMPOSITE,NYSE Arca,PCEF US Equity,Invesco ETFs/USA,Conservative Allocation,United States,Mixed Allocation,N.A.,641.673,1.99,1.361,-0.024,0.001,4.918,9.219,-0.36,0.054,0.983,0.995
No,BONDBLOXX BBG 6 MTH US TREAS,NYSE Arca,XHLF US Equity,BondBloxx ETF Trust,Government,United States,Fixed Income,N.A.,1100.91,0.03,,-0.044,,4.606,,-1.264,,1.096,
No,SPDR PORTFOLIO MSCI GLOBAL S,NYSE Arca,SPGM US Equity,State Street ETF/USA,Global,Global,Equity,N.A.,609.86,0.09,2.318,-0.015,0.077,17.238,24.391,0.364,0.398,1.038,0.998
No,BONDBLOXX BBG 2Y US TSY ETF,NYSE Arca,XTWO US Equity,BondBloxx ETF Trust,Government,United States,Fixed Income,N.A.,105.183,0.05,,0.005,,3.687,,-0.914,,0.978,
No,ISHARES MSCI CANADA ETF,NYSE Arca,EWC US Equity,iShares ETFs/USA,Canada,Canada,Equity,N.A.,2829.168,0.5,3.427,-0.016,-0.024,7.112,31.385,-0.256,0.43,1.029,1.024
No,BONDBLOXX BBG 1 DUR US TREAS,NYSE Arca,XONE US Equity,BondBloxx ETF Trust,Government,United States,Fixed Income,N.A.,525.997,0.03,,-0.008,,4.334,,-1.046,,1.013,
Yes,SGI US LARGE CAP CORE ETF,NYSE Arca,SGLC US Equity,RBB Fund Inc/Summit Global Investments LLC,Large-cap,United States,Equity,N.A.,102.039,0.85,1.644,,,,,,,,
Yes,AVANTIS ALL EQTY MRKTS ETF,NYSE Arca,AVGE US Equity,American Century ETF Trust,Broad Market,United States,Equity,N.A.,233.098,0.23,2.566,-0.338,,12.848,,0.144,,1.059,
No,ISHARES CORE S&P MIDCAP ETF,NYSE Arca,IJH US Equity,iShares ETFs/USA,Mid-cap,United States,Equity,N.A.,67895.016,0.05,1.84,-0.007,-0.005,6.547,30.829,-0.23,0.449,0.998,1.002
No,WISDOMTREE INTERNATIONAL HIG,NYSE Arca,DTH US Equity,WisdomTree ETFs/USA,International,International,Equity,N.A.,352.181,0.58,6.842,-0.065,-0.018,21.824,29.922,0.702,0.502,1.048,1.006
No,SPDR DJ GLOBAL REAL ESTATE E,NYSE Arca,RWO US Equity,State Street ETF/USA,Real Estate,Global,Equity,N.A.,1106.547,0.5,4.451,0.057,0.036,3.104,7.907,-0.51,0.092,1.009,0.995
Yes,NB COMMODITY STRATEGY ETF,NYSE Arca,NBCM US Equity,Neuberger Berman ETF Trust,Broad Based,Global,Commodity,N.A.,279.44,0.65,,0.462,0.408,1.642,72.386,-0.146,1.211,1.066,0.938
Yes,THRIVENT SMALL-MID CAP ESG,NYSE Arca,TSME US Equity,Thrivent ETF Trust,Mid-cap,United States,Equity,ESG,126.016,0.65,1.029,-0.063,,6.016,,-0.26,,1.058,
No,SPDR BLOOMBERG SHORT TERM HI,NYSE Arca,SJNK US Equity,State Street ETF/USA,Corporate,United States,Fixed Income,N.A.,3031.944,0.4,,-0.113,-0.041,9.827,11.405,0.336,0.197,1.224,1.089
No,ISHARES GOLD TRUST,NYSE Arca,IAU US Equity,iShares ETFs/USA,Precious Metals,Global,Commodity,N.A.,25777.547,0.25,,-0.09,-0.02,21.867,3.825,1.06,0.045,1.037,0.965
No,DRX DLY 20+ YR TREAS BULL 3X,NYSE Arca,TMF US Equity,Direxion ETFs/USA,Government,United States,Fixed Income,N.A.,2694.06,1,,-1.02,-0.595,-32.423,-86.538,-0.743,-1.122,3.057,2.923
Yes,CAP GROUP SHORT DURATION INC,NYSE Arca,CGSD US Equity,Capital Research and Management Company/ETFs,Aggregate Bond,United States,Fixed Income,N.A.,283.586,0.25,,0.034,,4.947,,-0.385,,1.113,
No,SPDR S&P 600 SMALL CAP GROWT,NYSE Arca,SLYG US Equity,State Street ETF/USA,Small-cap,United States,Equity,N.A.,2473.127,0.15,1.595,-0.005,-0.007,3.167,20.37,-0.498,0.3,1.014,1
No,SRH US QUALITY ETF,NYSE Arca,SRHQ US Equity,Elevation Series Trust,Broad Market,United States,Equity,N.A.,116.18,0.35,1.166,-0.027,,13.052,,0.049,,0.989,
No,ISHARES U.S. HEALTHCARE PROV,NYSE Arca,IHF US Equity,iShares ETFs/USA,Health Care,United States,Equity,N.A.,881.611,0.4,1.16,-0.035,-0.033,-7.788,19.47,-1.133,0.424,0.994,0.999
No,ISHARES U.S. MEDICAL DEVICES,NYSE Arca,IHI US Equity,iShares ETFs/USA,Health Care,United States,Equity,N.A.,4753.549,0.4,1.115,-0.026,-0.033,-1.528,-6.347,-0.684,-0.16,1.003,1.004
Yes,CAPITAL GROUP MUNI INC ETF,NYSE Arca,CGMU US Equity,Capital Research and Management Company/ETFs,Municipals,United States,Fixed Income,N.A.,330.075,0.27,,,,5.273,,-0.127,,,
No,SPDR S&P INSURANCE ETF,NYSE Arca,KIE US Equity,State Street ETF/USA,Financial,United States,Equity,N.A.,619.122,0.35,2.108,-0.034,-0.029,9.88,55.138,0.086,0.872,1.004,0.997
No,SPDR S&P DIVIDEND ETF,NYSE Arca,SDY US Equity,State Street ETF/USA,Large-cap,United States,Equity,N.A.,19497.734,0.35,3.136,-0.028,-0.028,-1.181,29.73,-0.704,0.524,0.999,0.996
No,SPDR BLOOMBERG INVESTMENT GR,NYSE Arca,FLRN US Equity,State Street ETF/USA,Corporate,United States,Fixed Income,N.A.,2507.927,0.15,,-0.288,-0.058,6.711,7.406,1.352,0.217,1.537,1.216
Yes,CAP GROUP US MULTI SEC INC,NYSE Arca,CGMS US Equity,Capital Research and Management Company/ETFs,Aggregate Bond,United States,Fixed Income,N.A.,235.357,0.39,,0.423,,8.321,,0.116,,0.914,
No,SPDR PORT SHRT TRM TRSRY,NYSE Arca,SPTS US Equity,State Street ETF/USA,Government,United States,Fixed Income,N.A.,5856.042,0.03,,-0.012,-0.003,3.697,-1.967,-0.921,-1.456,1.034,1.024
No,ISHARES GLOBAL CONSUMER STAP,NYSE Arca,KXI US Equity,iShares ETFs/USA,Consumer Staples,Global,Equity,N.A.,895.856,0.41,2.876,0.034,0.012,5.619,11.994,-0.179,0.219,1.035,1.009
No,SPDR EURO STOXX 50 ETF,NYSE Arca,FEZ US Equity,State Street ETF/USA,Eurozone,Eurozone,Equity,N.A.,2128.216,0.29,3.604,-0.08,0.005,31.995,32.815,0.888,0.462,1.085,1.029
No,HARBOR HUMAN CAPITAL FACTOR,NYSE Arca,HAPI US Equity,Harbor ETF Trust,Thematic,United States,Equity,N.A.,257.391,0.35,1.441,0.02,,23.591,,0.73,,0.967,
Yes,EA BRIDGEWAY BLUE CHIP ETF,NYSE Arca,BBLU US Equity,EA Series Trust,Large-cap,United States,Equity,N.A.,117.87,0.15,1.968,0.545,,26.153,,0.919,,0.968,
No,ISHARES MSCI AUSTRALIA ETF,NYSE Arca,EWA US Equity,iShares ETFs/USA,Australia,Australia,Equity,N.A.,1944.431,0.5,6.168,-0.008,-0.028,11.398,20.687,0.068,0.288,1.115,1.016
No,INVESCO ENERGY EXPLORATION,NYSE Arca,PXE US Equity,Invesco ETFs/USA,Energy,United States,Equity,N.A.,173.233,0.63,3.284,-0.043,-0.086,1.025,381.507,-0.099,1.975,1.005,1.008
No,ISHARES MSCI GERMANY ETF,NYSE Arca,EWG US Equity,iShares ETFs/USA,Germany,Germany,Equity,N.A.,1040.941,0.5,4.063,-0.078,0.001,27.078,4.619,0.669,0.105,1.077,1.03
Yes,FUNDX ETF,NYSE Arca,XCOR US Equity,FundX Investment Trust,Large-cap,United States,Equity,N.A.,133.752,1,1.102,-0.652,,6.876,,-0.293,,0.825,
Yes,ANGEL OAK ULTRASHORT INCOME,NYSE Arca,UYLD US Equity,Angel Oak Funds Trust,Mortgage-Backed,Global,Fixed Income,N.A.,105.895,0.29,,0.008,,6.411,,2.128,,1.262,
No,INVESCO GLOBAL LISTED PRIVAT,NYSE Arca,PSP US Equity,Invesco ETFs/USA,Financial,Global,Equity,N.A.,152.484,1.58,3.496,-0.074,-0.076,18.635,9.906,0.275,0.131,1.053,1.004
No,IQ CANDRIAM US MID CAP EQUIT,NYSE Arca,IQSM US Equity,IndexIQ Advisors LLC/USA,Mid-cap,United States,Equity,"Index Fund,ESG",164.799,0.15,1.754,-0.027,,4.75,,-0.312,,0.99,
Yes,SIMPLIFY ENHANCED INCOME ETF,NYSE Arca,HIGH US Equity,Simplify Exchange Traded Funds,Government,United States,Fixed Income,N.A.,177.369,0.51,,0.567,,6.173,,1.516,,0.006,
No,DRX DLY FTSE CHINA BULL 3X,NYSE Arca,YINN US Equity,Direxion ETFs/USA,China,China,Equity,N.A.,703.993,1.42,2.271,0.008,0.351,20.132,-92.078,1.047,-0.334,3.545,3.263
Yes,DIMENSIONAL INT SUS COR1 ETF,NYSE Arca,DFSI US Equity,Dimensional ETF Trust,Global,Global,Equity,ESG,237.675,0.24,3.224,,,19.986,,,,,
Yes,INNOVATOR EQTY MGD FLOOR ETF,NYSE Arca,SFLR US Equity,Innovator ETF Trust,Large-cap,United States,Equity,N.A.,100.274,0.89,1.576,,,,,,,,
Yes,DIMENSIONAL US SUS CORE1 ETF,NYSE Arca,DFSU US Equity,Dimensional ETF Trust,Broad Market,United States,Equity,ESG,573.242,0.18,1.469,,,17.566,,,,,
No,SPDR PORT INT CORP BOND ETF,NYSE Arca,SPIB US Equity,State Street ETF/USA,Corporate,United States,Fixed Income,N.A.,6811.436,0.04,,-0.019,-0.003,5.525,-7.349,-0.174,-0.917,1.073,1.039
Yes,FT ENERGY INC PARTNERS STRAT,NYSE Arca,EIPX US Equity,First Trust ETFs/USA,Energy,Global,Equity,N.A.,217.209,0.95,5.051,,,11.142,,,,,
Yes,DIMENSIONAL EM SUS CORE1 ETF,NYSE Arca,DFSE US Equity,Dimensional ETF Trust,Emerging Markets,Global,Equity,ESG,157.738,0.41,2.129,,,18.651,,,,,
No,ISHARES IBOXX HIGH YLD CORP,NYSE Arca,HYG US Equity,iShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,13150.59,0.49,,-0.066,-0.054,9.063,2.241,-0.004,-0.175,1.089,1.03
No,VANGUARD INTERMEDIATE-TERM B,NYSE Arca,BIV US Equity,Vanguard ETF/USA,Aggregate Bond,United States,Fixed Income,N.A.,15151.973,0.04,,-0.01,0.01,3.337,-14.071,-0.533,-1.087,1.031,1.018
Yes,SIM ST TREAS FUT STRAT ETF,NYSE Arca,TUA US Equity,Simplify Exchange Traded Funds,Aggregate Bond,United States,Fixed Income,N.A.,687.455,0.15,,,,,,,,,
No,ISHARES MSCI KOKUSAI ETF,NYSE Arca,TOK US Equity,iShares ETFs/USA,Global,Global,Equity,N.A.,174.841,0.25,2.134,0.026,0.004,19.623,30.011,0.452,0.461,1.053,0.995
Yes,DIM GLB SUSTAIN FIX INC ETF,NYSE Arca,DFSB US Equity,Dimensional ETF Trust,Aggregate Bond,Global,Fixed Income,Environmentally Friendly,143.016,0.24,,,,,,,,,
No,VANGUARD DIVIDEND APPREC ETF,NYSE Arca,VIG US Equity,Vanguard ETF/USA,Large-cap,United States,Equity,N.A.,67139.672,0.06,2.005,0.001,0.051,11.615,28.204,0.076,0.497,0.989,1.003
No,WISDOMTREE INDIA EARNINGS,NYSE Arca,EPI US Equity,WisdomTree ETFs/USA,India,India,Equity,N.A.,1375.216,0.85,1.746,-0.262,-0.114,14.773,65.638,0.666,1.069,0.975,0.927
No,PROSHARES ULTRA SILVER,NYSE Arca,AGQ US Equity,ProShares ETFs/USA,Precious Metals,Global,Commodity,N.A.,376.065,0.95,,-0.543,-0.536,22.888,-40.113,0.686,-0.086,2.065,2.032
No,ISHARES U.S. BROKER-DEALERS,NYSE Arca,IAI US Equity,iShares ETFs/USA,Financial,United States,Equity,N.A.,370.778,0.4,2.029,-0.053,-0.031,-1.738,51.868,-0.518,0.642,0.993,1.007
Yes,INNOVATOR GRAD TACT ROTATION,NYSE Arca,IGTR US Equity,Innovator ETF Trust,Global,Global,Equity,N.A.,189.124,0.8,1.607,,,,,,,,
Yes,T ROWE PRICE FLOATING RT ETF,NYSE Arca,TFLR US Equity,T Rowe Price Exchange-Traded Funds Inc,Not Classified,United States,Fixed Income,N.A.,102.681,0.6,,,,,,,,,
